,Prompt,isResponseFormatted
0,'What are some movies that explore the theme of humanity and its impact on society?',1
1,'What are some popular movies with a strong sense of humor?',1
2,'What are some humorous movies that you can recommend?',1
3,'What are some popular movies related to the theme of hunting?',1
4,'What are some movies that portray or explore the theme of idealism?',1
5,'What are some popular movies that explore the theme of identity?',1
6,'What are some examples of movies with an idiotic theme or plot?',1
7,'Imaginary Friend',1
8,'Imagination in movies',1
9,'What are the top 250 movies on IMDb and can you provide some examples?',1
10,'Immigrants in movies',1
11,'What are some movies that explore the theme of immortality?',1
12,'Incest in movies',1
13,'What are some popular independent films that gained critical acclaim?',1
14,'What are some popular Indian movies that have gained significant recognition and appreciation?',1
15,'What is an example of a movie related to the Indiana Jones franchise?',1
16,'What are some popular movies related to the theme of Indians?',1
17,'What are some popular indie movies that have gained critical acclaim?',1
18,'What are some movies that deal with the theme of infidelity?',1
19,'Innocence Lost',1
20,'What are some movies related to the theme of insanity?',1
21,'Inspirational movies',1
22,'What are some inspiring movies that have left a lasting impact on people?',1
23,'Intellectual movies',1
24,'What are some intelligent movies that showcase thought-provoking plots and characters?',1
25,'What are some intelligent sci-fi movies that you would recommend?',1
26,'intense',1
27,'What are some interesting movies that you would recommend?',1
28,'What are some popular movies that have a significant internet or technology-related theme?',1
29,'Interracial romance movies',1
30,'Can you suggest a few intimate movies that explore deep emotional connections between characters?',1
31,'Investigation',1
32,'What are some popular movies related to Iran or featuring Iranian characters or themes?',1
33,'What are some popular movies related to the Iraq war or its aftermath?',1
34,'What are some movies related to the Iraq War?',1
35,'What are some popular movies related to Ireland?',1
36,'Can you recommend any popular Irish movies?',1
37,'What are some popular movies featuring actors with Irish accents?',1
38,'Ironic movies',1
39,'What are some examples of irreverent movies?',1
40,'islam',1
41,'Island-related movies',1
42,'Isolation-themed movies',1
43,'israel',1
44,'Italian movies',1
45,'Italy-related movies',1
46,'What is a famous James Bond movie?',1
47,'What are some popular movie adaptations of Jane Austen's novels?',1
48,'What are some popular Japanese movies or filmmakers?',1
49,'What are some popular Japanese movies?',1
50,'What are some movies related to the characters Jay and Silent Bob?',1
51,'What are some popular movies related to jazz?',1
52,'What are some popular movies related to the theme of Jesus Christ?',1
53,'What are some popular movies with Jewish themes or featuring Jewish characters?',1
54,'What are some notable movies featuring Jewish characters or themes?',1
55,'What are some popular movies related to the theme of journalism?',1
56,'What are some movies related to Judaism?',1
57,'What are some popular movies related to the jungle theme?',1
58,'What are some popular movies related to the theme of justice?',1
59,'kick-butt women',1
60,'What are some popular movies related to the theme of kidnapping?',1
61,'What are some popular kids' movies?',1
62,'What are some popular movies suitable for kids and family?',1
63,'king arthur',1
64,'What are some notable movies directed by Stanley Kubrick?',1
65,'What are some popular movies related to the kung fu genre?',1
66,'What are some notable movies directed by Akira Kurosawa?',1
67,'lame',1
68,'What are some popular movies set in Las Vegas?',1
69,'What are some popular movies related to Latin America?',1
70,'What are some popular movies featuring lawyers as main characters or significant roles?',1
71,'What are some popular movies featuring lawyers as main characters or significant roles?',1
72,'What are some popular movies featuring lesbian characters or storylines?',1
73,'What are some popular movies that revolve around the theme of life?',1
74,'life & death',1
75,'life philosophy',1
76,'What are some popular movies related to the theme of light?',1
77,'What are some popular movies featuring lions as characters or in the storyline?',1
