,Prompt,Actual,Expected,Precision,Recall,F1
0,Harry Potter and the Sorcerer's Stone (2001),10,7,0.4,0.5714285714285714,0.47058823529411764
1,Transformers (2007),10,4,0.3,0.75,0.4285714285714285
2,Die Hard (1988),10,4,0.4,1.0,0.5714285714285715
3,The Matrix (1999),10,3,0.0,0.0,0.0
4,X-Men (2000),10,6,0.1,0.16666666666666666,0.125
5,Home Alone (1990),10,4,0.1,0.25,0.14285714285714288
6,Star Wars: Episode IV - A New Hope (1977),10,5,0.2,0.4,0.26666666666666666
7,The Terminator (1984),10,5,0.2,0.4,0.26666666666666666
8,Mission: Impossible (1996),10,5,0.2,0.4,0.26666666666666666
9,Toy Story (1995),10,3,0.3,1.0,0.4615384615384615
10,Back to the Future (1985),10,2,0.2,1.0,0.33333333333333337
11,Pirates of the Caribbean: The Curse of the Black Pearl (2003),10,4,0.2,0.5,0.28571428571428575
12,Jurassic Park (1993),10,5,0.1,0.2,0.13333333333333333
13,Madagascar (2005),10,3,0.2,0.6666666666666666,0.30769230769230765
14,Men in Black (1997),10,3,0.2,0.6666666666666666,0.30769230769230765
15,Iron Man (2008),10,2,0.2,1.0,0.33333333333333337
16,Shrek (2001),10,4,0.4,1.0,0.5714285714285715
17,Finding Nemo (2003),10,1,0.1,1.0,0.18181818181818182
18,Despicable Me (2010),10,4,0.2,0.5,0.28571428571428575
19,The Hunger Games (2012),10,3,0.2,0.6666666666666666,0.30769230769230765
